"","X","AccSpeciesName","cleanedPlantName","LeafLength","maxLeafLength","meanLeafLength","minLeafLength","LeafArea","maxLeafArea","meanLeafArea","minLeafArea"
"296",349,"Oregon crab apple","Oregon crab apple",NA,NA,NA,NA,NA,NA,NA,NA
"297",263,"Oriental bittersweet","Oriental bittersweet",NA,NA,NA,NA,NA,NA,NA,NA
"298",216,"Osage orange","Osage orange",NA,NA,NA,NA,NA,NA,NA,NA
"299",374,"Osmanthus fragrans","Osmanthus fragrans","LeafLength",60,20.7,7,"LeafArea",4002,1763.92,700
"300",176,"Overcup oak","Overcup oak",NA,NA,NA,NA,NA,NA,NA,NA
"301",273,"Ozark witch hazel","Ozark witch hazel",NA,NA,NA,NA,NA,NA,NA,NA
"302",295,"Pacific madrone","Pacific madrone",NA,NA,NA,NA,NA,NA,NA,NA
"303",3,"Paper birch","Paper birch",NA,NA,NA,NA,NA,NA,NA,NA
"304",141,"Pawpaw","Pawpaw",NA,NA,NA,NA,NA,NA,NA,NA
"305",387,"Peach","Peach",NA,NA,NA,NA,NA,NA,NA,NA
"306",69,"Pear","Pear",NA,NA,NA,NA,NA,NA,NA,NA
"307",369,"Pear spp.","Pear",NA,NA,NA,NA,NA,NA,NA,NA
"308",249,"Pear tree","Pear",NA,NA,NA,NA,NA,NA,NA,NA
"309",393,"Pecan","Pecan",NA,NA,NA,NA,NA,NA,NA,NA
"310",215,"Persian ironwood","Persian ironwood",NA,NA,NA,NA,NA,NA,NA,NA
"311",317,"Persimmon spp.","Persimmon",NA,NA,NA,NA,NA,NA,NA,NA
"312",242,"Piedmont azalea","Piedmont azalea",NA,NA,NA,NA,NA,NA,NA,NA
"313",78,"Pignut hickory","Pignut hickory",NA,NA,NA,NA,NA,NA,NA,NA
"314",16,"Pin cherry","Pin cherry",NA,NA,NA,NA,NA,NA,NA,NA
"315",151,"Pin oak","Pin oak",NA,NA,NA,NA,NA,NA,NA,NA
"316",474,"Pitch pine","Pitch pine",NA,NA,NA,NA,NA,NA,NA,NA
"317",241,"Plumleaf azalea","Plumleaf azalea",NA,NA,NA,NA,NA,NA,NA,NA
"318",291,"Podocarpus","Podocarpus",NA,NA,NA,NA,NA,NA,NA,NA
"319",213,"Possumhaw","Possumhaw",NA,NA,NA,NA,NA,NA,NA,NA
"320",410,"Possumhaw viburnum","Possumhaw viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"321",483,"Post oak","Post oak",NA,NA,NA,NA,NA,NA,NA,NA
"322",347,"Prairie crab apple","Prairie crab apple",NA,NA,NA,NA,NA,NA,NA,NA
"323",178,"Privet","Privet",NA,NA,NA,NA,NA,NA,NA,NA
"324",268,"Privet spp.","Privet",NA,NA,NA,NA,NA,NA,NA,NA
"325",462,"Prunus laurocerasus","Prunus laurocerasus","LeafLength",25,15,5,"LeafArea",11174,5786.26591322877,854.7916667
"326",166,"Prunus maritima","Prunus maritima",NA,NA,NA,NA,NA,NA,NA,NA
"327",470,"Prunus salicina","Prunus salicina","LeafLength",12,7.2,3,NA,NA,NA,NA
"328",494,"Prunus sargentii","Prunus sargentii",NA,NA,NA,NA,NA,NA,NA,NA
"329",493,"Prunus serulata (japanese cherry blossom)","Prunus serulata (japanese cherry blossom)",NA,NA,NA,NA,NA,NA,NA,NA
"330",449,"Prunus spp. (apricot)","Prunus spp. (apricot)",NA,NA,NA,NA,NA,NA,NA,NA
"331",450,"Prunus spp. (cherry)","Prunus spp. (cherry)",NA,NA,NA,NA,NA,NA,NA,NA
"332",458,"Prunus spp.(plum)","Prunus spp.(plum)",NA,NA,NA,NA,NA,NA,NA,NA
"333",500,"Prunus umbellata","Prunus umbellata","LeafLength",57.2,50.0166666666667,40.1,"LeafArea",1990,887.234042553191,555
"334",451,"Punica spp.","Punica",NA,NA,NA,NA,NA,NA,NA,NA
"335",457,"Pussy willow","Pussy willow",NA,NA,NA,NA,NA,NA,NA,NA
"336",98,"Quaking aspen","Quaking aspen",NA,NA,NA,NA,NA,NA,NA,NA
"337",499,"Quercus hemispherica","Quercus hemispherica",NA,NA,NA,NA,NA,NA,NA,NA
"338",251,"Quercus montana","Quercus montana",NA,NA,NA,NA,NA,NA,NA,NA
"339",503,"Quercus nuttallii","Quercus nuttallii",NA,NA,NA,NA,NA,NA,NA,NA
"340",399,"Quercus robur","Quercus robur","LeafLength",20,11.625,5,"LeafArea",8411.364,2156.6567036128,661.9633333
"341",259,"Quihoui???","Quihoui???",NA,NA,NA,NA,NA,NA,NA,NA
"342",408,"Raisin","Raisin",NA,NA,NA,NA,NA,NA,NA,NA
"343",342,"Red bay","Redbay",NA,NA,NA,NA,NA,NA,NA,NA
"344",192,"Red buckeye","Red buckeye",NA,NA,NA,NA,NA,NA,NA,NA
"345",390,"Red elderberry","Red elderberry",NA,NA,NA,NA,NA,NA,NA,NA
"346",56,"Red maple","Red maple",NA,NA,NA,NA,NA,NA,NA,NA
"347",236,"Red mulberry","Red mulberry",NA,NA,NA,NA,NA,NA,NA,NA
"348",140,"Red oak","Red oak",NA,NA,NA,NA,NA,NA,NA,NA
"349",96,"Red osier dogwood","Redosier dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"350",139,"Red osier dogwood (cornus sericea)","Redosier dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"351",117,"Red-osier dogwood","Redosier dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"352",218,"Redbay","Redbay",NA,NA,NA,NA,NA,NA,NA,NA
"353",93,"Redosier dogwood","Redosier dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"354",438,"Reeves spiraea","Reeves spiraea",NA,NA,NA,NA,NA,NA,NA,NA
"355",107,"Rhamnus cathartica","Rhamnus cathartica","LeafLength",7,5,3,"LeafArea",3162,740.653033625,160.245614
"356",21,"Rhododendron","Rhododendron","LeafLength",40,40,40,"LeafArea",1720.666667,1133.3066668,400.2
"357",245,"Rhododendron austrinum","Rhododendron austrinum",NA,NA,NA,NA,NA,NA,NA,NA
"358",244,"Rhododendron canescens","Rhododendron canescens",NA,NA,NA,NA,NA,NA,NA,NA
"359",45,"Rhododendron sp","Rhododendron",NA,NA,NA,NA,NA,NA,NA,NA
"360",209,"Rhododendron spp.","Rhododendron",NA,NA,NA,NA,NA,NA,NA,NA
"361",367,"Rhus copallinum","Rhus copallinum","LeafLength",150.1,121.25,78.7,"LeafArea",6339,3477.20588235294,343.3333333
"362",39,"Rhus glabra","Rhus glabra",NA,NA,NA,NA,NA,NA,NA,NA
"363",304,"Rhus typhina","Rhus typhina","LeafLength",50,50,50,"LeafArea",25500,2334.22173913043,770.27
"364",224,"River birch","River birch",NA,NA,NA,NA,NA,NA,NA,NA
"365",465,"Rosa acicularis","Rosa acicularis","LeafLength",15,12,7,"LeafArea",4794.3,810.903348528571,137.5
"366",478,"Rosa spp.","Rosa",NA,NA,NA,NA,NA,NA,NA,NA
"367",358,"Rose","Rose",NA,NA,NA,NA,NA,NA,NA,NA
"368",230,"Rose of sharon","Rose of sharon",NA,NA,NA,NA,NA,NA,NA,NA
"369",357,"Roughleaf dogwood","Roughleaf dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"370",466,"Rubus idaeus","Rubus idaeus","LeafLength",10,7.5,5,"LeafArea",25090,4625.41564084507,324.52
"371",225,"Russian-olive","Russian-olive",NA,NA,NA,NA,NA,NA,NA,NA
"372",127,"Sassafras","Sassafras",NA,NA,NA,NA,NA,NA,NA,NA
"373",475,"Sassafras spp.","Sassafras",NA,NA,NA,NA,NA,NA,NA,NA
"374",43,"Scarlet oak","Scarlet oak",NA,NA,NA,NA,NA,NA,NA,NA
"375",163,"Scrub oak","Scrub oak",NA,NA,NA,NA,NA,NA,NA,NA
"376",307,"Serviceberry","Serviceberry",NA,NA,NA,NA,NA,NA,NA,NA
"377",24,"Serviceberry spp.","Serviceberry",NA,NA,NA,NA,NA,NA,NA,NA
"378",382,"Shagbark hickory","Shagbark hickory",NA,NA,NA,NA,NA,NA,NA,NA
"379",361,"Shellbark hickory","Shellbark hickory",NA,NA,NA,NA,NA,NA,NA,NA
"380",365,"Shingle oak","Shingle oak",NA,NA,NA,NA,NA,NA,NA,NA
"381",489,"Shining willow","Shining willow",NA,NA,NA,NA,NA,NA,NA,NA
"382",484,"Shortleaf pine","Shortleaf pine",NA,NA,NA,NA,NA,NA,NA,NA
"383",352,"Shumard oak","Shumard oak",NA,NA,NA,NA,NA,NA,NA,NA
"384",179,"Siberian elm","Siberian elm",NA,NA,NA,NA,NA,NA,NA,NA
"385",353,"Silky dogwood","Silky dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"386",354,"Silver maple","Silver maple",NA,NA,NA,NA,NA,NA,NA,NA
"387",443,"Silver poplar","Silver poplar",NA,NA,NA,NA,NA,NA,NA,NA
"388",455,"Silverbell spp.","Silverbell",NA,NA,NA,NA,NA,NA,NA,NA
"389",108,"Simplocos tinctoria","Symplocos tinctoria",NA,NA,NA,NA,NA,NA,NA,NA
"390",150,"Slippery elm","Slippery elm",NA,NA,NA,NA,NA,NA,NA,NA
"391",104,"Sour cherry","Sour cherry",NA,NA,NA,NA,NA,NA,NA,NA
"392",53,"Sourwood","Sourwood",NA,NA,NA,NA,NA,NA,NA,NA
"393",368,"Southern bayberry","Southern bayberry",NA,NA,NA,NA,NA,NA,NA,NA
"394",173,"Southern catalpa","Southern catalpa",NA,NA,NA,NA,NA,NA,NA,NA
"395",332,"Southern crab apple","Southern crab apple",NA,NA,NA,NA,NA,NA,NA,NA
"396",383,"Southern crabapple","Southern crabapple",NA,NA,NA,NA,NA,NA,NA,NA
"397",146,"Southern magnolia","Southern magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"398",181,"Southern red oak","Southern red oak",NA,NA,NA,NA,NA,NA,NA,NA
"399",182,"Southern sugar maple","Southern sugar maple",NA,NA,NA,NA,NA,NA,NA,NA
"400",89,"Speckled alder","Speckled alder",NA,NA,NA,NA,NA,NA,NA,NA
"401",330,"Speckled japanese aralla","Speckled japanese aralla",NA,NA,NA,NA,NA,NA,NA,NA
"402",62,"Spicebush","Spicebush",NA,NA,NA,NA,NA,NA,NA,NA
"403",346,"Spruce pine","Spruce pine",NA,NA,NA,NA,NA,NA,NA,NA
"404",496,"Staghorn sumac","Staghorn sumac",NA,NA,NA,NA,NA,NA,NA,NA
"405",138,"Stewartia rostrata","Stewartia rostrata",NA,NA,NA,NA,NA,NA,NA,NA
"406",187,"Stiff dogwood","Stiff dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"407",440,"Strawberry bush","Strawberry bush",NA,NA,NA,NA,NA,NA,NA,NA
"408",429,"Stretchberry","Stretchberry",NA,NA,NA,NA,NA,NA,NA,NA
"409",41,"Striped maple","Striped maple",NA,NA,NA,NA,NA,NA,NA,NA
"410",10,"Sugar maple","Sugar maple",NA,NA,NA,NA,NA,NA,NA,NA
"411",380,"Sugarberry","Sugarberry",NA,NA,NA,NA,NA,NA,NA,NA
"412",256,"Sumac spp.","Sumac",NA,NA,NA,NA,NA,NA,NA,NA
"413",254,"Sumac?","Sumac?",NA,NA,NA,NA,NA,NA,NA,NA
"414",77,"Swamp chestnut oak","Swamp chestnut oak",NA,NA,NA,NA,NA,NA,NA,NA
"415",172,"Swamp white oak","Swamp white oak",NA,NA,NA,NA,NA,NA,NA,NA
"416",197,"Sweet birch","Sweet birch",NA,NA,NA,NA,NA,NA,NA,NA
"417",381,"Sweet cherry","Sweet cherry",NA,NA,NA,NA,NA,NA,NA,NA
"418",300,"Sweet crab apple","Sweet crab apple",NA,NA,NA,NA,NA,NA,NA,NA
"419",252,"Sweet gum","Sweetgum",NA,NA,NA,NA,NA,NA,NA,NA
"420",337,"Sweetbay","Sweetbay",NA,NA,NA,NA,NA,NA,NA,NA
"421",448,"Sweetbay magnolia","Sweetbay magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"422",51,"Sweetgum","Sweetgum",NA,NA,NA,NA,NA,NA,NA,NA
"423",285,"Sycamore spp.","Sycamore",NA,NA,NA,NA,NA,NA,NA,NA
"424",147,"Symplocos tinctoria","Symplocos tinctoria",NA,NA,NA,NA,NA,NA,NA,NA
"425",247,"Symplocos tinctotria","Symplocos tinctoria",NA,NA,NA,NA,NA,NA,NA,NA
"426",402,"Syringa reticulata","Syringa reticulata","LeafLength",14,8.625,2.5,NA,NA,NA,NA
"427",485,"Syringa vulgaris","Syringa vulgaris",NA,NA,NA,NA,NA,NA,NA,NA
"428",94,"Tamarack","Tamarack",NA,NA,NA,NA,NA,NA,NA,NA
"429",294,"Tanoak","Tanoak",NA,NA,NA,NA,NA,NA,NA,NA
"430",112,"Tatarian honeysuckle","Tatarian honeysuckle",NA,NA,NA,NA,NA,NA,NA,NA
"431",422,"Texas sophora","Texas sophora",NA,NA,NA,NA,NA,NA,NA,NA
"432",135,"Tilia cordata","Tilia cordata","LeafLength",9,6,3,"LeafArea",3162,2627.1383,868.5
"433",472,"Tilia tomentosa","Tilia tomentosa","LeafLength",15,11,8,NA,NA,NA,NA
"434",136,"Tilia x europaea","Tilia x europaea","LeafLength",10,8,6,"LeafArea",684.3611111,684.3611111,684.3611111
"435",437,"Tree privet","Tree privet",NA,NA,NA,NA,NA,NA,NA,NA
"436",13,"Trembling aspen","Quaking aspen",NA,NA,NA,NA,NA,NA,NA,NA
"437",200,"Trident maple","Trident maple",NA,NA,NA,NA,NA,NA,NA,NA
"438",235,"Tulip poplar","Tulip poplar",NA,NA,NA,NA,NA,NA,NA,NA
"439",155,"Tuliptree","Tuliptree",NA,NA,NA,NA,NA,NA,NA,NA
"440",377,"Tungoil tree","Tungoil tree",NA,NA,NA,NA,NA,NA,NA,NA
"441",338,"Turkey oak","Turkey oak",NA,NA,NA,NA,NA,NA,NA,NA
"442",473,"Ulmus carpinifolia","Ulmus carpinifolia",NA,NA,NA,NA,NA,NA,NA,NA
"443",131,"Ulmus sp.","Ulmus",NA,NA,NA,NA,NA,NA,NA,NA
"444",74,"Umbrella magnolia","Umbrella magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"445",180,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",28,"Vaccineum stamineum","Vaccineum stamineum",NA,NA,NA,NA,NA,NA,NA,NA
"447",120,"Vaccinium caesariense","Vaccinium caesariense",NA,NA,NA,NA,NA,NA,NA,NA
"448",162,"Vaccinium corymbosum","Vaccinium corymbosum","LeafLength",37.1,18.5666666666667,3,"LeafArea",2200,447.184615384615,87
"449",38,"Vaccinium spp","Vaccinium",NA,NA,NA,NA,NA,NA,NA,NA
"450",253,"Vaccinum corymbosum","Vaccinium corymbosum",NA,NA,NA,NA,NA,NA,NA,NA
"451",37,"Vibirnum dentatum","Vibirnum dentatum",NA,NA,NA,NA,NA,NA,NA,NA
"452",355,"Viburnum","Viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"453",453,"Viburnum awabuki","Viburnum awabuki",NA,NA,NA,NA,NA,NA,NA,NA
"454",42,"Viburnum cassinoide","Viburnum cassinoide",NA,NA,NA,NA,NA,NA,NA,NA
"455",164,"Viburnum dentatum","Viburnum dentatum",NA,NA,NA,NA,NA,NA,NA,NA
"456",137,"Viburnum dilatatum","Viburnum dilatatum","LeafLength",50,16.2,3,"LeafArea",3254,2131.26666666667,700
"457",124,"Viburnum lentago","Viburnum lentago",NA,NA,NA,NA,NA,NA,NA,NA
"458",35,"Viburnum nudum","Viburnum nudum",NA,NA,NA,NA,NA,NA,NA,NA
"459",238,"Viburnum plicatum","Viburnum plicatum","LeafLength",10,7,4,NA,NA,NA,NA
"460",442,"Viburnum rhytidophyllum","Viburnum rhytidophyllum","LeafLength",20,14,8,NA,NA,NA,NA
"461",75,"Viburnum rufidulum","Viburnum rufidulum",NA,NA,NA,NA,NA,NA,NA,NA
"462",316,"Viburnum sp","Viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"463",301,"Viburnum spp.","Viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"464",420,"Viburnum tinus","Viburnum tinus",NA,NA,NA,NA,NA,NA,NA,NA
"465",34,"Viburnum trilobum","Viburnum trilobum",NA,NA,NA,NA,NA,NA,NA,NA
"466",389,"Virburnum","Viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"467",207,"Virginia pine","Virginia pine",NA,NA,NA,NA,NA,NA,NA,NA
"468",319,"Virginia sweetspire","Virginia sweetspire",NA,NA,NA,NA,NA,NA,NA,NA
"469",351,"Wafer ash","Wafer ash",NA,NA,NA,NA,NA,NA,NA,NA
"470",109,"Walnut spp.","Walnut",NA,NA,NA,NA,NA,NA,NA,NA
"471",227,"Washington hawthorn","Washington hawthorn",NA,NA,NA,NA,NA,NA,NA,NA
"472",201,"Water oak","Water oak",NA,NA,NA,NA,NA,NA,NA,NA
"473",392,"Water tupelo","Water tupelo",NA,NA,NA,NA,NA,NA,NA,NA
"474",274,"Wax myrtle","Wax myrtle",NA,NA,NA,NA,NA,NA,NA,NA
"475",22,"Weeping cherry","Weeping cherry",NA,NA,NA,NA,NA,NA,NA,NA
"476",191,"Weeping knoss dogwood","Weeping knoss dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"477",322,"Weeping willow","Weeping willow",NA,NA,NA,NA,NA,NA,NA,NA
"478",87,"White ash","White ash",NA,NA,NA,NA,NA,NA,NA,NA
"479",97,"White birch","White birch",NA,NA,NA,NA,NA,NA,NA,NA
"480",118,"White cedar","White cedar",NA,NA,NA,NA,NA,NA,NA,NA
"481",90,"White elm","White elm",NA,NA,NA,NA,NA,NA,NA,NA
"482",52,"White fir","White fir",NA,NA,NA,NA,NA,NA,NA,NA
"483",6,"White mulberry","White mulberry",NA,NA,NA,NA,NA,NA,NA,NA
"484",30,"White oak","White oak",NA,NA,NA,NA,NA,NA,NA,NA
"485",413,"White spruce","White spruce",NA,NA,NA,NA,NA,NA,NA,NA
"486",63,"White-cedar spp.","White-cedar",NA,NA,NA,NA,NA,NA,NA,NA
"487",327,"Wild cherry","Prunus",NA,NA,NA,NA,NA,NA,NA,NA
"488",76,"Willow oak","Willow oak",NA,NA,NA,NA,NA,NA,NA,NA
"489",95,"Willow spp.","Willow",NA,NA,NA,NA,NA,NA,NA,NA
"490",258,"Wineberry","Wineberry",NA,NA,NA,NA,NA,NA,NA,NA
"491",64,"Winged elm","Winged elm",NA,NA,NA,NA,NA,NA,NA,NA
"492",441,"Winged eonymous","Winged eonymous",NA,NA,NA,NA,NA,NA,NA,NA
"493",461,"Winged euonymus","Winged euonymus",NA,NA,NA,NA,NA,NA,NA,NA
"494",302,"Winterberry","Winterberry",NA,NA,NA,NA,NA,NA,NA,NA
"495",278,"Wisteria","Wisteria",NA,NA,NA,NA,NA,NA,NA,NA
"496",185,"Witch hazel","Witch hazel",NA,NA,NA,NA,NA,NA,NA,NA
"497",364,"Yaupon","Yaupon",NA,NA,NA,NA,NA,NA,NA,NA
"498",198,"Yeddo euonymous","Yeddo euonymous",NA,NA,NA,NA,NA,NA,NA,NA
"499",17,"Yellow birch","Yellow birch",NA,NA,NA,NA,NA,NA,NA,NA
"500",60,"Yellow buckeye","Yellow buckeye",NA,NA,NA,NA,NA,NA,NA,NA
"501",65,"Yellow-poplar","Yellow-poplar",NA,NA,NA,NA,NA,NA,NA,NA
"502",334,"Yew spp.","Yew",NA,NA,NA,NA,NA,NA,NA,NA
"503",424,"Yucca rostrata","Yucca rostrata",NA,NA,NA,NA,NA,NA,NA,NA
"504",401,"Zelkova serrata","Zelkova serrata","LeafLength",111.717,51.1,2,"LeafArea",4127.429,1436.43269565217,35.101
